"","nh","year","villid","thanaid","agehead","sexhead","educhead","famsize","hhland","hhasset","expfd","expnfd","exptot","dmmfd","dfmfd","weight","vaccess","pcirr","rice","wheat","milk","potato","egg","oil","exptot0","exptot91"
"1",11054,1,1,1,79,1,0,2,36,33295,8262.958,1240.357,9903.315,0,1,1.042735,1,0.45,13.894100189209,9.74400043487549,13.8048000335693,8.547,2.63879990577698,52.7812995910645,0,4058.112
"2",11061,1,1,1,43,1,6,4,116,180325,6724.861,12486.47,19611.33,1,1,1.011396,1,0.45,13.894100189209,9.74400043487549,13.8048000335693,8.547,2.63879990577698,52.7812995910645,0,3552.266
"3",11081,1,1,1,52,0,0,7,91,80735,5113.393,2393.616,7907.009,0,1,1.011396,1,0.45,13.894100189209,9.74400043487549,13.8048000335693,8.547,2.63879990577698,52.7812995910645,0,3790.967
"4",11101,1,1,1,48,1,0,7,8,16755,4080.97,1252.924,5733.894,0,1,1.011396,1,0.45,13.894100189209,9.74400043487549,13.8048000335693,8.547,2.63879990577698,52.7812995910645,0,2472.667
"5",12021,1,2,1,35,1,10,5,10,18795,7031.534,17638.52,25070.05,0,1,0.7630522,1,0.2,11.164999961853,7.30800008773804,12.9924001693726,6.868,2.43600010871887,56.3003997802734,0,4291.147
"6",12035,1,2,1,33,1,5,7,16,44877.52,2107.38,1168.629,3686.009,0,0,2.248996,1,0.2,11.164999961853,7.30800008773804,12.9924001693726,6.868,2.43600010871887,56.3003997802734,0,5342.948
"7",12051,1,2,1,26,1,2,3,1,5142.78,4824.965,1167.05,6402.015,0,0,0.7630522,1,0.2,11.164999961853,7.30800008773804,12.9924001693726,6.868,2.43600010871887,56.3003997802734,0,4005.543
"8",12054,1,2,1,38,1,5,4,66,113032.9,5890.513,1414.434,7714.947,0,0,0.8192771,1,0.2,11.164999961853,7.30800008773804,12.9924001693726,6.868,2.43600010871887,56.3003997802734,0,3173.395
"9",12081,1,2,1,35,1,0,7,10,26160,4691.143,2118.303,7219.446,0,1,0.7630522,1,0.2,11.164999961853,7.30800008773804,12.9924001693726,6.868,2.43600010871887,56.3003997802734,0,566.42865
"10",12121,1,2,1,48,1,0,8,5,17080,2690.824,811.2566,3912.081,0,1,0.7630522,1,0.2,11.164999961853,7.30800008773804,12.9924001693726,6.868,2.43600010871887,56.3003997802734,0,378.67755
"11",13014,1,3,1,45,1,9,4,26,30320,4023.549,1271.146,5704.695,0,1,1.529412,0,0.75,9.9242000579834,7.30800008773804,12.9924001693726,6.105,2.43600010871887,52.7812995910645,0,592.1589
"12",13015,1,3,1,35,1,0,4,138,84103,3665.584,2480.545,6556.129,0,1,1.490196,0,0.75,9.9242000579834,7.30800008773804,12.9924001693726,6.105,2.43600010871887,52.7812995910645,0,601.43835
"13",13021,1,3,1,55,1,10,4,73,61220,4043.172,1198.572,5651.745,0,1,0.6568627,0,0.75,9.9242000579834,7.30800008773804,12.9924001693726,6.105,2.43600010871887,52.7812995910645,0,455.4375
"14",13025,1,3,1,55,1,1,6,262,642238.5,4540.533,4913.61,9864.144,0,0,1.490196,0,0.75,9.9242000579834,7.30800008773804,12.9924001693726,6.105,2.43600010871887,52.7812995910645,0,576.3819
"15",13035,1,3,1,40,1,5,4,128,348335.3,3636.487,3551.732,7598.219,0,0,1.490196,0,0.75,9.9242000579834,7.30800008773804,12.9924001693726,6.105,2.43600010871887,52.7812995910645,0,590.499
"16",13041,1,3,1,68,1,0,4,55,39100,2275.68,5693.26,8378.94,0,1,0.6568627,0,0.75,9.9242000579834,7.30800008773804,12.9924001693726,6.105,2.43600010871887,52.7812995910645,0,526.3509
"17",13054,1,3,1,28,1,0,4,4,12978.75,1783.394,485.519,2678.913,0,0,1.529412,0,0.75,9.9242000579834,7.30800008773804,12.9924001693726,6.105,2.43600010871887,52.7812995910645,0,447.74325
"18",13061,1,3,1,55,0,0,4,10,25310,3727.839,715.2527,4853.091,0,1,0.6568627,0,0.75,9.9242000579834,7.30800008773804,12.9924001693726,6.105,2.43600010871887,52.7812995910645,0,444.3138
"19",13091,1,3,1,70,1,0,4,19,34010,3259.575,6084.89,9754.465,1,0,0.6568627,0,0.75,9.9242000579834,7.30800008773804,12.9924001693726,6.105,2.43600010871887,52.7812995910645,0,535.3785
"20",13101,1,3,1,55,1,0,4,19,32460,3524.157,755.3459,4689.503,0,1,0.6568627,0,0.75,9.9242000579834,7.30800008773804,12.9924001693726,6.105,2.43600010871887,52.7812995910645,0,375.19815
"21",13111,1,3,1,41,1,0,5,3,4242,2404.114,523.0747,3337.189,1,0,0.6568627,0,0.75,9.9242000579834,7.30800008773804,12.9924001693726,6.105,2.43600010871887,52.7812995910645,0,581.94705
"22",13121,1,3,1,36,1,0,4,8,11615,3074.841,2156.584,5641.425,0,1,0.6568627,0,0.75,9.9242000579834,7.30800008773804,12.9924001693726,6.105,2.43600010871887,52.7812995910645,0,502.9044
"23",21015,1,1,2,50,1,12,9,839,1268880,4125.953,2565.826,7101.779,0,0,1.593137,1,0.8,11.6611003875732,9.74400043487549,9.74400043487549,7.174,2.0304000377655,52.7812995910645,0,1282.79685
"24",21035,1,1,2,60,1,0,8,194.5,204621.8,1987.921,1221.241,3619.162,0,0,1.593137,1,0.8,11.6611003875732,9.74400043487549,9.74400043487549,7.174,2.0304000377655,52.7812995910645,0,665.2365
"25",21054,1,1,2,48,1,0,9,2,9581.811,5492.248,2274.026,8176.274,0,0,1.235294,1,0.8,11.6611003875732,9.74400043487549,9.74400043487549,7.174,2.0304000377655,52.7812995910645,0,485.14425
"26",21061,1,1,2,45,1,0,4,1,5340,3332.318,397.8887,4140.207,0,1,0.7536765,1,0.8,11.6611003875732,9.74400043487549,9.74400043487549,7.174,2.0304000377655,52.7812995910645,0,612.92295
"27",22021,1,2,2,37,1,0,5,18,13020,2264.447,605.7656,3280.213,0,1,0.6028368,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,0,675.8352
"28",22024,1,2,2,50,1,0,7,1.5,1353.363,1301.742,245.2488,1956.991,0,0,1.361702,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,0,369.15315
"29",22025,1,2,2,35,1,8,6,363,298957.9,4689.403,2824.92,7924.323,0,0,1.985816,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,0,1074.11925
"30",22031,1,2,2,37,1,0,4,10,6020,2127.825,453.2075,2991.033,0,1,0.6028368,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,0,377.5917
"31",22044,1,2,2,55,1,0,6,5,3498.444,1571.48,166.1252,2147.605,0,0,1.361702,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,0,344.937
"32",22054,1,2,2,40,1,0,2,1,947.3542,2599.811,1810.8,4820.61,0,0,1.361702,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,0,407.7108
"33",22061,1,2,2,37,1,12,6,224,200550,2276.808,935.6252,3622.433,0,1,0.6028368,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,0,505.0002
"34",22091,1,2,2,41,1,0,4,11,6190,1318.176,521.0448,2249.22,0,1,0.6028368,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,0,367.87875
"35",22101,1,2,2,37,0,0,3,2,2750,2002.977,376.9115,2789.889,0,1,0.6028368,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,0,384.70605
"36",22121,1,2,2,53,0,0,1,1,1,3093.788,420.2192,3924.007,0,1,0.6028368,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,0,586.25295
"37",23031,1,3,2,35,1,0,5,10,6610,2778.184,377.8589,3566.043,0,1,0.7521367,1,0.75,11.164999961853,7.30800008773804,9.74400043487549,6.868,2.0304000377655,45.7430992126465,0,397.27515
"38",23041,1,3,2,35,1,0,4,1,15400,2501.353,1322.405,4233.758,0,1,0.7521367,1,0.75,11.164999961853,7.30800008773804,9.74400043487549,6.868,2.0304000377655,45.7430992126465,0,715.6371
"39",23044,1,3,2,55,1,0,8,16,16868.32,1085.905,107.4232,1603.328,0,0,1.497436,1,0.75,11.164999961853,7.30800008773804,9.74400043487549,6.868,2.0304000377655,45.7430992126465,0,292.2156
"40",23054,1,3,2,27,1,0,3,1,1119.908,1428.024,244.9587,2082.982,0,0,1.497436,1,0.75,11.164999961853,7.30800008773804,9.74400043487549,6.868,2.0304000377655,45.7430992126465,0,574.63425
"41",23061,1,3,2,25,1,0,2,12,16105.02,5290.973,1031.601,6732.574,0,0,0.7521367,1,0.75,11.164999961853,7.30800008773804,9.74400043487549,6.868,2.0304000377655,45.7430992126465,0,402.2163
"42",23081,1,3,2,47,1,0,10,27,24900,4214.237,1152.05,5776.288,0,1,0.7521367,1,0.75,11.164999961853,7.30800008773804,9.74400043487549,6.868,2.0304000377655,45.7430992126465,0,488.1474
"43",23121,1,3,2,22,1,6,2,178,231195,4191.366,1544.864,6146.229,0,0,0.7521367,1,0.75,11.164999961853,7.30800008773804,9.74400043487549,6.868,2.0304000377655,45.7430992126465,0,955.70805
"44",31011,1,1,3,52,1,1,7,6,131550,4900.334,1377.917,6688.251,0,1,0.6772083,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,488.2116
"45",31014,1,1,3,42,1,10,8,3,272465.8,3921.031,1555.522,5886.553,0,0,1.287532,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,788.8917
"46",31024,1,1,3,50,1,12,6,32,1355563,5295.71,3779.267,9484.977,0,0,1.287532,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,1157.52285
"47",31025,1,1,3,35,1,9,8,60,357200,4181.554,15745.36,20336.92,0,1,1.931298,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,1011.10995
"48",31035,1,1,3,70,1,10,5,6,588036.3,7277.846,3790.77,11478.62,0,0,1.931298,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,4132.1505
"49",31044,1,1,3,40,0,4,4,259,447218.8,7023.955,16406.99,23840.95,0,0,1.287532,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,867.7485
"50",31051,1,1,3,58,1,6,10,10,263200,3943.971,4342.266,8696.236,0,1,0.6772083,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,735.42825
