"","nh","year","villid","thanaid","agehead","sexhead","educhead","famsize","hhland","hhasset","expfd","expnfd","exptot","dmmfd","dfmfd","weight","vaccess","pcirr","rice","wheat","milk","potato","egg","oil","lexptot"
"1",11054,0,1,1,72,1,0,3,36,33295,3055.856,902.2549,4058.112,0,0,1.042735,1,0.45,12.1000003814697,10.1999998092651,14.3999996185303,8,3,71.5,8.30871950946142
"2",11054,1,1,1,79,1,0,2,36,33295,8262.958,1240.357,9903.315,0,1,1.042735,1,0.45,13.894100189209,9.74400043487549,13.8048000335693,8.547,2.63879990577698,52.7812995910645,9.20072579974978
"3",11061,0,1,1,35,1,5,10,116,180325,3031.017,421.2493,3552.266,1,0,1.011396,1,0.45,12.1000003814697,10.1999998092651,15.8399995803833,8,3,71.5,8.47562245952885
"4",11061,1,1,1,43,1,6,4,116,180325,6724.861,12486.47,19611.33,1,1,1.011396,1,0.45,13.894100189209,9.74400043487549,15.1852800369263,8.547,2.63879990577698,52.7812995910645,10.1839137290624
"5",11081,0,1,1,54,1,3,6,91,80735,3347.578,343.3877,3790.967,1,1,1.011396,1,0.45,12.1000003814697,10.1999998092651,15.8399995803833,8,3,71.5,8.5406401608054
"6",11081,1,1,1,52,0,0,7,91,80735,5113.393,2393.616,7907.009,0,1,1.011396,1,0.45,13.894100189209,9.74400043487549,15.1852800369263,8.547,2.63879990577698,52.7812995910645,9.27563132237787
"7",11101,0,1,1,44,1,5,7,8,16755,2106.833,265.8344,2472.667,0,1,1.011396,1,0.45,12.1000003814697,10.1999998092651,15.8399995803833,8,3,71.5,8.11345694405474
"8",11101,1,1,1,48,1,0,7,8,16755,4080.97,1252.924,5733.894,0,1,1.011396,1,0.45,13.894100189209,9.74400043487549,15.1852800369263,8.547,2.63879990577698,52.7812995910645,8.95432454639353
"9",12021,0,2,1,28,1,8,6,10,18795,3401.24,789.907,4291.147,0,1,0.7630522,1,0.2,12.6499996185303,9.89999961853027,15.8399995803833,8,3,70.1999969482422,8.66454235293109
"10",12021,1,2,1,35,1,10,5,10,18795,7031.534,17638.52,25070.05,0,1,0.7630522,1,0.2,11.164999961853,7.30800008773804,14.2916401863098,6.868,2.43600010871887,56.3003997802734,10.4294690730036
"11",12035,0,2,1,25,1,8,4,184,81105,3760.61,1482.338,5342.948,0,0,2.248996,1,0.2,12.6499996185303,9.89999961853027,15.8399995803833,8,3,70.1999969482422,8.88371998463022
"12",12035,1,2,1,33,1,5,7,16,44877.52,2107.38,1168.629,3676.009,0,0,2.248996,1,0.2,11.164999961853,7.30800008773804,14.2916401863098,6.868,2.43600010871887,56.3003997802734,8.50985492894582
"13",12051,0,2,1,63,1,6,8,16,20800,3097.738,807.8052,4005.543,1,0,0.7630522,1,0.2,12.6499996185303,9.89999961853027,15.8399995803833,8,3,70.1999969482422,8.59568405372012
"14",12051,1,2,1,26,1,2,3,1,5142.78,4824.965,1167.05,6392.015,0,0,0.7630522,1,0.2,11.164999961853,7.30800008773804,14.2916401863098,6.868,2.43600010871887,56.3003997802734,9.06296126708026
"15",12054,0,2,1,27,1,5,3,63,32717,2703.48,369.9149,3173.395,0,0,0.8192771,1,0.2,12.6499996185303,9.89999961853027,15.8399995803833,8,3,70.1999969482422,8.36287234198851
"16",12054,1,2,1,38,1,5,4,66,113032.9,5890.513,1414.434,7704.947,0,0,0.8192771,1,0.2,11.164999961853,7.30800008773804,14.2916401863098,6.868,2.43600010871887,56.3003997802734,9.24974764740486
"17",12081,0,2,1,26,1,0,6,10,26160,3188.72,487.4715,3776.191,0,1,0.7630522,1,0.2,12.6499996185303,9.89999961853027,15.8399995803833,8,3,70.1999969482422,8.53673589066872
"18",12081,1,2,1,35,1,0,7,10,26160,4691.143,2118.303,7209.446,0,1,0.7630522,1,0.2,11.164999961853,7.30800008773804,14.2916401863098,6.868,2.43600010871887,56.3003997802734,9.18328608689566
"19",12121,0,2,1,43,1,3,8,5,17080,2179.248,245.2691,2524.517,0,1,0.7630522,1,0.2,12.6499996185303,9.89999961853027,15.8399995803833,8,3,70.1999969482422,8.13420107322578
"20",12121,1,2,1,48,1,0,8,5,17080,2690.824,811.2566,3902.081,0,1,0.7630522,1,0.2,11.164999961853,7.30800008773804,14.2916401863098,6.868,2.43600010871887,56.3003997802734,8.56952152023199
"21",13014,0,3,1,38,1,7,5,26,30320,3115.934,731.7919,3947.726,0,0,1.529412,1,0.5,12.1000003814697,9.60000038146973,14.5199997901917,8,3,72.8000030517578,8.58114827422508
"22",13014,1,3,1,45,1,9,4,26,30320,4023.549,1271.146,5694.695,0,1,1.529412,0,0.75,9.9242000579834,7.30800008773804,14.2916401863098,6.105,2.43600010871887,52.7812995910645,8.94746590530984
"23",13015,0,3,1,21,1,0,3,138,84103,3194.497,715.0913,4009.589,0,0,1.490196,1,0.5,12.1000003814697,9.60000038146973,14.5199997901917,8,3,72.8000030517578,8.59669339230741
"24",13015,1,3,1,35,1,0,4,138,84103,3665.584,2480.545,6546.129,0,1,1.490196,0,0.75,9.9242000579834,7.30800008773804,14.2916401863098,6.105,2.43600010871887,52.7812995910645,9.08678191192805
"25",13021,0,3,1,45,1,10,5,73,61220,2634.16,302.0899,3036.25,0,1,0.6568627,1,0.5,12.1000003814697,9.60000038146973,14.5199997901917,8,3,72.8000030517578,8.31870777973485
"26",13021,1,3,1,55,1,10,4,73,61220,4043.172,1198.572,5641.745,0,1,0.6568627,0,0.75,9.9242000579834,7.30800008773804,14.2916401863098,6.105,2.43600010871887,52.7812995910645,8.9381259282187
"27",13025,0,3,1,41,1,4,7,229,133391,3161.487,581.0589,3842.546,0,0,1.490196,1,0.5,12.1000003814697,9.60000038146973,14.5199997901917,8,3,72.8000030517578,8.55415065697567
"28",13025,1,3,1,55,1,1,6,262,642238.5,4540.533,4913.61,9854.144,0,0,1.490196,0,0.75,9.9242000579834,7.30800008773804,14.2916401863098,6.105,2.43600010871887,52.7812995910645,9.49574883135221
"29",13035,0,3,1,37,1,0,14,960,636530,2972.095,864.5654,3936.66,0,0,1.490196,1,0.5,12.1000003814697,9.60000038146973,14.5199997901917,8,3,72.8000030517578,8.57834191722895
"30",13035,1,3,1,40,1,5,4,128,348335.3,3636.487,3551.732,7588.219,0,0,1.490196,0,0.75,9.9242000579834,7.30800008773804,14.2916401863098,6.105,2.43600010871887,52.7812995910645,9.23448396654453
"31",13041,0,3,1,47,1,0,4,55,39100,2950.432,458.5735,3509.006,0,1,0.6568627,1,0.5,12.1000003814697,9.60000038146973,14.5199997901917,8,3,72.8000030517578,8.46337302586016
